Epoch,True_Label,Cluster,PCA_1,PCA_2
0,1,0,3.750962244260382,-0.41328491949631085
1,1,1,-1.0885985394629192,-5.43484727538183
2,1,1,1.5130642686748268,-1.8941911330309376
3,1,0,-0.6423858845613316,-4.508626042629711
4,0,0,4.458231378597277,1.4500660381140469
5,0,1,1.0476805373785516,-3.4248158435912206
6,0,0,5.874995719886564,3.5414839825053575
7,1,1,-1.0800101354528202,-2.7463181448695435
8,1,0,5.770432113828962,1.548274471937135
9,0,1,0.023866392293789545,3.4301498094456457
10,0,0,6.990512993652513,-1.294610591995449
11,0,0,3.8025329068182043,-3.3720929902164243
12,1,0,6.386114976705703,3.1825837187680555
13,1,1,-1.8916173662830633,-0.07670061383912889
14,0,1,-4.902058368252048,10.04951929917831
15,0,0,1.4942443435570345,0.5673985286880825
16,0,1,-1.7046989185511292,5.197454330849727
17,1,0,5.074079887260003,2.305477594904004
18,0,0,2.7315059244866933,1.6128423611012324
19,0,0,-0.21881605451347744,6.565101518701952
20,0,0,8.040766590677222,2.759064284627195
21,0,1,0.1093959328864241,-5.716244977198889
22,0,0,3.057261987165359,-1.5232710308318331
23,0,0,12.131054054568501,2.607157999667613
24,1,0,2.8933215810124557,3.277508564594703
25,0,0,3.4815925851231304,3.824070853743099
26,0,1,0.4449975951300679,3.3603815274845985
27,0,1,-3.6784018300781685,1.2529731858670912
28,1,1,-0.1917410711430418,-2.266219388139128
29,1,0,9.265033345787892,-1.4187075526241137
30,0,0,2.746787778846255,-1.2418340160968269
31,0,0,9.192184066308211,-0.6896323785296142
32,0,1,-6.93503055904153,-0.48554722603147177
33,1,1,-1.2996704715146268,-1.48168716589567
34,0,1,-5.376148149255734,-6.311547230254268
35,0,1,-6.853075713828864,-4.760392826342288
36,0,0,-0.06941155792370106,0.1869689176027688
37,1,1,-3.0766698121711595,-5.261531382875229
38,0,1,-4.862938122377994,6.999370609752511
39,0,1,-1.511654758375224,-4.347780273904957
40,0,1,-3.3108426986060593,0.710527998986362
41,1,0,2.257053083526811,-3.2548254551121483
42,1,1,-2.855926103592933,0.5204668550077641
43,1,1,-8.568925807563676,-4.9458236449104485
44,0,1,-13.346638416936829,15.459708403425527
45,0,0,3.7018535744756624,3.982734286747594
46,0,1,-7.003738198747541,-4.268664626086432
47,1,0,3.936017028982146,-0.6928453027932067
48,1,1,-4.872875446329594,-5.23373029815709
49,1,1,-2.2038562595219844,3.2536588956299983
50,0,1,-1.3885573299732645,-0.26927850315845886
51,0,0,4.857466800921464,-1.5992227090279278
52,0,1,-0.22405510377689908,-2.045598353171203
53,1,1,-3.2047259980539016,-4.897816832576783
54,1,1,-4.012986804799682,-3.269347911244415
55,0,1,-6.716684299409685,0.5158953996236751
56,0,1,-5.9667931045893585,1.3706707355635095
57,0,1,-5.973476808123888,-0.38447353250461136
