Epoch,True_Label,Cluster,PCA_1,PCA_2
0,1,1,-8.83103519592562,3.2749839816676416
1,0,1,-4.324061884280686,-4.588032357185886
2,0,0,0.10079767157579708,-5.062078639226105
3,0,0,4.07973153742198,-4.048861562933541
4,1,1,0.794170021524617,-1.6603555497014224
5,1,0,7.566528873539223,-6.400242196761679
6,0,0,18.418088592253074,3.699519285779223
7,0,1,-2.6580666683197616,-2.5443045979894383
8,0,0,1.4438962348172277,-6.433749308847643
9,1,1,-2.224343296831365,2.80689398498472
10,1,0,0.7077903798195789,-0.3960282607702205
11,0,1,-6.333107298793972,1.7475464492304909
12,0,0,22.97215471382766,-0.7967717337099921
13,0,1,-1.2842822346200067,11.452919467861287
14,1,0,2.875454360840796,-0.522383131280728
15,0,1,0.8199000572915891,6.892434504977039
16,0,0,0.648219995979436,-3.5839689453303527
17,0,0,1.4639841758172387,-1.0452884397048527
18,1,1,-6.911655255982301,6.241268083158379
19,0,0,7.580677998132891,-2.662355758221009
20,0,1,0.5186785530696891,-0.561624614096181
21,0,1,-2.0445138960636156,0.7327095221115234
22,1,1,-2.783444243681768,-0.7855888076538114
23,1,0,0.5342775666298915,-5.527538664796794
24,1,1,-5.144493895194582,1.586227556456009
25,1,1,-1.5590013673707155,-1.7223903001966077
26,0,1,-1.4048887889114678,0.09635702824900877
27,0,1,-5.337558906396553,0.15613956268251591
28,0,1,1.6766806038172448,4.378404767476541
29,1,0,5.026580519918683,8.823416598378117
30,0,0,-0.6511502119463871,-2.5387108934918543
31,0,0,3.6951617168406763,-0.4122814998204167
32,0,1,-1.4171491046374378,10.073475737418752
33,1,1,-5.175087235068058,0.01351223730471509
34,1,1,-3.5545072182644155,-3.140574128039223
35,1,0,8.972044280098284,-1.4481376775525847
36,0,1,-8.692922631245718,0.46361237438600406
37,0,1,-2.5092995061014833,-0.36953619052676373
38,0,1,-0.8321052819430028,-1.621635684608552
39,1,1,-3.7641700515957686,1.8082487154334113
40,1,0,2.8442714020175783,-8.406001995570977
41,1,1,-5.0985021862260425,-0.3496814939279095
42,0,1,-4.614637751384407,-2.6476051978196535
43,0,0,3.7544535889780986,-4.349340630155287
44,0,1,-3.456612162509359,-2.1568261373503006
45,1,0,-0.17443560481851714,-5.527292427080809
46,1,1,-2.9911929908625616,-1.1806451338098016
47,1,1,-0.039955309331645227,6.867476058685323
48,0,1,-6.793579834861163,0.9892818406832408
49,0,1,-3.412502874166746,-4.6332350422203294
50,0,1,0.4031970055346959,6.91063747149479
51,1,0,9.890199128040445,11.35057264342061
52,1,1,-5.062485880433099,-1.1535124043924172
53,1,1,-5.850918369729139,2.510274411512319
54,1,1,0.6859876633790837,-1.6846400050892278
55,0,1,-4.781263303715443,-0.4875173948609587
56,0,0,1.9937317454864092,-0.7583779299603104
57,0,1,-2.1701306127736264,-0.9602410385839302
58,1,0,4.3699369822700005,2.266361265083007
59,1,0,2.639462839843992,-0.904796453545044
60,0,0,2.227116715101998,-1.5806518162872825
61,0,0,1.6058780891060285,2.7412210444267733
62,0,0,1.574008041012549,-3.230690549761559
